beacon_id,latitude,longitude,range,tag,name
0,46.52211887927068,6.583688239792803,2,BLE beacon,ICL-GNSS - 0
1,46.52192509531922,6.5837439860391225,2,BLE beacon,ICL-GNSS - 1
2,46.521995208984436,6.584256296419357,2,BLE beacon,ICL-GNSS - 2
3,46.52211141292247,6.583563606667288,2,BLE beacon,ICL-GNSS - 4
4,46.52223670900733,6.584338962823776,2,BLE beacon,ICL-GNSS - 3
5,46.522551242475615,6.584324551045538,2,BLE beacon,ICL-GNSS - 5
